,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
254,254,'Terry Silva,2014-02-27T14:41:57,mentira b blia diz estrelas feitas alumiarem terra n ter planetas b blia tamb m diz c u ab bada fechado espelho fundido j portanto tudo mentira,4,28,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
256,256,'Giseli Vieira,2014-02-27T12:24:09,n duvido daqui alguns anos seres humanos estar viajando naves ouvimos falar ets tentando achar planeta igual habitarmos quase destru polui global aquecimento global mudan clim ticas est provocando enchentes desastres ambientais acho isse objetivo nasa,7,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
257,257,'Giseli Vieira,2014-02-27T12:17:32,ora n podemos limitar somente est escrito b lbia g neses est escrito cria planeta terra n outros b blia n pode levar p letra estudou teologia h interpreta es tr s dias podem ser cada dia geol gica milh es anos acredito exist ncia planetas terra vida outras formas vida porque deus infinitamente grandioso universo frase h mist rios c u terra homem possa imaginar,8,3,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
258,258,'Luiz Correa,2014-02-27T08:20:17,n acredito existam coisas assim disse g neses deus criou terra c us ar mar n diz nada outros planetas ets nada disso,2,46,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
259,259,'Antonio Oliveira,2014-02-27T09:41:00,acredita ad eva drag cabe n,3,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
263,263,'Antonio Oliveira,2014-02-27T11:16:04,ateu satanista burroooooooooooooooooooooo ateu nao acredita nada bobo,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
268,268,'Mike Litoris,2014-02-27T10:05:19,pura invensao ciensia tentando difamar verdade pena,1,9,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
278,278,'Terry Silva,2014-02-27T09:08:12,es ver eixo inclinado terra sim n nada ver manuten vida terra pode existir vida outro planeta precisar dessa inclina,4,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
279,279,'MÃƒÂ¡rio Carmo,2014-02-27T09:31:25,n necessariamente rbita estabilizada lua assim ngulo inclina eixo terra m pode acontecer outros planetas tamb m sistemas solares processos gravitacionais desenvolvido maneira distinta,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
282,282,'MÃƒÂ¡rio Carmo,2014-02-27T09:29:28,c rangel voc est equivocado processo descoberta planeta novo altamente complexo s hoje avan tecnol gicos tica eletr nica consegue identificar planetas novos boa quantidade quanto vida outros planetas quest tempo descoberta afinal universo t absurdamente grande achar s h vida aqui rid culo,0,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
283,283,'Demorgarm.,2014-02-27T07:59:00,realidade mesma formiguinha estando l santos algu m achou folha l crate s formiguinha n h qualquer relev ncia tempo deslocamento supera tempo vida,1,2,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
287,287,'SebastiÃƒÂ£o Sales,2014-02-26T20:56:49,deveriam usar pouco desse dinheiro cuidar desse planeta certeza vidas mal vividas,24,29,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Negative
